,Nombre,Código NIF,Localidad,Coordenada - X,Coordenada - Y,Ultimo año disponible,Ultimo número empleados,No of companies in corporate group,Código primario CNAE 2009,Literal código CNAE 2009 primario,Descripción actividad,"Ingresos de explotación
EUR
Últ. año disp.","Ingresos de explotación
EUR
2020","Ingresos de explotación
EUR
2019","Ingresos de explotación
EUR
2018","Ingresos de explotación
EUR
2017","Ingresos de explotación
EUR
2016","Ingresos de explotación
EUR
2015","Ingresos de explotación
EUR
2014","Ingresos de explotación
EUR
2013","Ingresos de explotación
EUR
2012","Ingresos de explotación
EUR
2011","Ingresos de explotación
EUR
2010","Resultado del Ejercicio
EUR
Últ. año disp.","Resultado del Ejercicio
EUR
2020","Resultado del Ejercicio
EUR
2019","Resultado del Ejercicio
EUR
2018","Resultado del Ejercicio
EUR
2017","Resultado del Ejercicio
EUR
2016","Resultado del Ejercicio
EUR
2015","Resultado del Ejercicio
EUR
2014","Resultado del Ejercicio
EUR
2013","Resultado del Ejercicio
EUR
2012","Resultado del Ejercicio
EUR
2011","Resultado del Ejercicio
EUR
2010","Rentabilidad económica (%)
%
Últ. año disp.","Rentabilidad económica (%)
%
2020","Rentabilidad económica (%)
%
2019","Rentabilidad económica (%)
%
2018","Rentabilidad económica (%)
%
2017","Rentabilidad económica (%)
%
2016","Rentabilidad económica (%)
%
2015","Rentabilidad económica (%)
%
2014","Rentabilidad económica (%)
%
2013","Rentabilidad económica (%)
%
2012","Rentabilidad económica (%)
%
2011","Rentabilidad económica (%)
%
2010","Rentabilidad financiera (%)
%
Últ. año disp.","Rentabilidad financiera (%)
%
2020","Rentabilidad financiera (%)
%
2019","Rentabilidad financiera (%)
%
2018","Rentabilidad financiera (%)
%
2017","Rentabilidad financiera (%)
%
2016","Rentabilidad financiera (%)
%
2015","Rentabilidad financiera (%)
%
2014","Rentabilidad financiera (%)
%
2013","Rentabilidad financiera (%)
%
2012","Rentabilidad financiera (%)
%
2011","Rentabilidad financiera (%)
%
2010","Liquidez general
%
Últ. año disp.","Liquidez general
%
2020","Liquidez general
%
2019","Liquidez general
%
2018","Liquidez general
%
2017","Liquidez general
%
2016","Liquidez general
%
2015","Liquidez general
%
2014","Liquidez general
%
2013","Liquidez general
%
2012","Liquidez general
%
2011","Liquidez general
%
2010","Endeudamiento (%)
%
Últ. año disp.","Endeudamiento (%)
%
2020","Endeudamiento (%)
%
2019","Endeudamiento (%)
%
2018","Endeudamiento (%)
%
2017","Endeudamiento (%)
%
2016","Endeudamiento (%)
%
2015","Endeudamiento (%)
%
2014","Endeudamiento (%)
%
2013","Endeudamiento (%)
%
2012","Endeudamiento (%)
%
2011","Endeudamiento (%)
%
2010","Número empleados
Últ. año disp.","Número empleados
2020","Número empleados
2019","Número empleados
2018","Número empleados
2017","Número empleados
2016","Número empleados
2015","Número empleados
2014","Número empleados
2013","Número empleados
2012","Número empleados
2011","Número empleados
2010","Distribución - Mujeres
Últ. año disp.","Distribución - Mujeres
2020","Distribución - Mujeres
2019","Distribución - Mujeres
2018","Distribución - Mujeres
2017","Distribución - Mujeres
2016","Distribución - Mujeres
2015","Distribución - Mujeres
2014","Distribución - Mujeres
2013","Distribución - Mujeres
2012","Distribución - Mujeres
2011","Distribución - Mujeres
2010","Distribución - Hombres
Últ. año disp.","Distribución - Hombres
2020","Distribución - Hombres
2019","Distribución - Hombres
2018","Distribución - Hombres
2017","Distribución - Hombres
2016","Distribución - Hombres
2015","Distribución - Hombres
2014","Distribución - Hombres
2013","Distribución - Hombres
2012","Distribución - Hombres
2011","Distribución - Hombres
2010"
274.,RANDSTAD TECHNOLOGIES SA.,A81989360,MADRID,-3.63147537,40.4744589,31/12/2019,293,497,6202,Actividades de consultoría informática,Actividades informáticas,"17,254,000",n.d.,"17,254,000","15,044,000","11,973,000","10,587,000","11,541,000","11,554,000","8,839,000","9,321,000","11,735,000","13,844,000","1,954,000",n.d.,"1,954,000","1,634,000","1,376,000","343,000","936,000","510,000","284,000","-594,000","-567,000","-506,000",17.69,n.d.,17.69,17.10,16.72,5.06,15.06,10.10,5.23,-5.38,-6.17,-7.72,21.51,n.d.,21.51,21.50,21.50,6.30,19.05,12.73,7.04,-15.34,-12.85,-10.50,5.49,n.d.,5.49,4.90,4.66,4.92,4.78,4.65,3.71,1.50,1.94,3.55,17.75,n.d.,17.75,20.48,22.23,19.60,20.94,20.60,25.64,64.92,51.98,26.46,319,n.d.,319,293,243,229,247,254,196,221,313,343,n.d.,n.d.,n.d.,87,62,47,50,53,44,45,72,83,n.d.,n.d.,n.d.,228,188,175,194,197,203,171,218,247
275.,NTT MANAGED SERVICES EMEA S.A.,A62396908,BARCELONA,2.13316478,41.38945879,31/03/2019,220,1280,6202,Actividades de consultoría informática,Gestión de aplicaciones e infraestructura de los sistemas informáticos de sus clientes,"17,129,947",n.d.,n.d.,"17,129,947","14,947,059","12,196,295","9,944,587","2,165,861","6,911,739","5,591,932","6,370,808","5,355,668","503,162",n.d.,n.d.,"503,162","355,604","197,518","914,758","193,611","673,611","519,971","1,511,991","1,144,935",5.39,n.d.,n.d.,5.39,4.50,2.32,14.25,3.46,13.28,11.01,37.81,40.28,7.61,n.d.,n.d.,7.61,6.06,3.02,16.91,4.09,15.93,13.90,44.56,49.05,3.13,n.d.,n.d.,3.13,3.54,3.84,5.37,5.14,4.50,3.99,6.17,4.98,29.10,n.d.,n.d.,29.10,25.77,23.18,15.74,15.40,16.66,20.80,15.17,17.88,185,n.d.,n.d.,185,158,137,116,105,83,79,76,62,26,n.d.,n.d.,26,18,14,n.d.,n.d.,n.d.,10,8,n.d.,142,n.d.,n.d.,142,129,110,n.d.,n.d.,n.d.,66,70,n.d.
276.,ZEMSANIA SL,B63130074,BARCELONA,2.19322744,41.39718293,31/12/2019,56,6,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"Soluciones tecnológicas, servicio de consultoría de RRHH en el sector tecnológico.","17,090,724",n.d.,"17,090,724","20,543,676","23,272,793","24,046,507","25,982,115","27,018,644","19,898,689","19,854,011","20,528,135","17,474,551","65,037",n.d.,"65,037","105,239","329,910","426,127","320,064","829,679","149,520","467,570","436,734","575,390",0.64,n.d.,0.64,1.22,1.85,4.48,1.63,8.91,1.93,8.66,7.78,13.60,1.79,n.d.,1.79,3.38,5.62,15.66,6.60,34.60,8.76,35.34,45.03,41.17,1.02,n.d.,1.02,1.50,1.49,1.41,1.32,1.19,1.32,1.56,1.37,1.60,64.04,n.d.,64.04,63.76,67.12,71.41,75.24,74.26,78.03,75.50,82.73,66.98,56,n.d.,56,62,63,61,17,14,14,12,220,415,n.d.,n.d.,n.d.,29,27,26,8,8,9,9,51,83,n.d.,n.d.,n.d.,25,40,35,20,8,5,3,170,332
277.,ARYSE COMUNICACIONES SL,B83449603,ALCALA DE HENARES,-3.341409,40.514744,31/12/2019,60,0,7022,Otras actividades de consultoría de gestión empresarial,Suministros de electrónica de red,"17,070,783",n.d.,"17,070,783","18,680,294","16,291,230","13,920,752","11,653,561","11,115,511","7,726,939","6,440,394","7,603,599","5,633,441","2,973,891",n.d.,"2,973,891","3,954,003","2,844,883","2,694,334","1,617,127","1,419,347","1,142,458","1,062,660","798,049","433,893",30.27,n.d.,30.27,22.61,21.41,22.93,19.15,20.20,23.07,18.78,17.61,12.66,71.67,n.d.,71.67,33.07,31.34,38.54,33.63,39.88,37.18,31.87,32.01,22.67,1.66,n.d.,1.66,3.45,3.08,2.46,2.23,1.90,2.47,2.37,1.96,1.88,57.76,n.d.,57.76,31.64,31.68,40.50,43.06,49.34,37.95,41.08,45.00,44.16,59,n.d.,59,51,40,40,32,27,19,20,19,19,11,n.d.,11,n.d.,4,n.d.,n.d.,n.d.,3,3,n.d.,n.d.,46,n.d.,46,n.d.,36,n.d.,n.d.,n.d.,16,17,n.d.,n.d.
278.,SOLUCIONES NETQUEST DE INVESTIGACION SL,B62470489,BARCELONA,2.11173736,41.38691608,31/12/2019,188,180,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Desarrollo de tecnología para soluciones de investigación online-Servicios de Estudios de mercado online.,"17,068,620",n.d.,"17,068,620","16,318,191","13,232,096",n.d.,"7,429,051","5,913,082","3,844,060","3,723,332","2,610,970","2,614,223","-6,296,341",n.d.,"-6,296,341","-13,682,962","-3,694,578",n.d.,"539,823","252,720","-273,987","153,158","49,600","101,136",-26.70,n.d.,-26.70,-41.28,-17.28,n.d.,5.72,0.10,-8.39,2.50,0.77,3.16,29.74,n.d.,29.74,68.91,290.81,n.d.,17.78,0.26,-45.18,13.20,4.91,17.15,0.29,n.d.,0.29,0.37,0.45,n.d.,0.72,1.00,1.00,1.41,1.03,1.02,189.79,n.d.,189.79,159.90,105.94,n.d.,67.84,63.53,81.42,81.06,84.27,81.55,188,n.d.,188,198,165,n.d.,48,46,45,40,n.d.,22,88,n.d.,88,91,68,n.d.,21,17,14,n.d.,n.d.,n.d.,93,n.d.,93,102,97,n.d.,42,30,34,n.d.,n.d.,n.d.
279.,CENTRO OPERATIVO CICLO COMERCIAL SA.,A66176785,MADRID,-3.63085614,40.43681556,31/12/2019,78,816,7022,Otras actividades de consultoría de gestión empresarial,"LA REALIZACION DE TAREAS ASOCIADAS A LOS PROCESOS ESTRATEGICOS, CLAVE Y DE SOPORTE A LAS ACTIVIDADES QUE INTEGRAN EL CICLO INTEGRAL DEL AGUA QUE SEAN NECESARIAS PARA SU CORRECTO DESARROLLO EN LAS QUE SE INCLUYEN SERVICIOS, ETC","17,056,000",n.d.,"17,056,000","16,975,000","18,442,000","20,488,000","33,418,000","37,585,000",n.d.,n.d.,n.d.,n.d.,"1,019,000",n.d.,"1,019,000","1,249,000","1,566,000","2,421,000","6,445,000","6,811,000",n.d.,n.d.,n.d.,n.d.,17.80,n.d.,17.80,17.24,19.30,26.51,47.37,33.21,n.d.,n.d.,n.d.,n.d.,28.59,n.d.,28.59,28.50,33.90,46.10,81.15,59.04,n.d.,n.d.,n.d.,n.d.,2.63,n.d.,2.63,2.52,2.31,2.34,2.11,2.12,n.d.,n.d.,n.d.,n.d.,37.73,n.d.,37.73,39.49,43.07,42.49,41.63,43.75,n.d.,n.d.,n.d.,n.d.,78,n.d.,78,80,77,79,95,78,n.d.,n.d.,n.d.,n.d.,39,n.d.,39,35,36,37,39,n.d.,n.d.,n.d.,n.d.,n.d.,39,n.d.,39,43,41,41,42,n.d.,n.d.,n.d.,n.d.,n.d.
280.,MENA BUSINESS INVESTMENT GROUP SL,B63662415,BARCELONA,2.12422527,41.37823479,31/12/2019,2,0,7022,Otras actividades de consultoría de gestión empresarial,"SERVICIOS DE CONSULTORIA PARA LA ALTA DIRECCION QUE INCLUYE LA DIRECCION DE MARKETING, LA DIRECCION FINANCIERA, LA INVESTIGACION DE MERCADOS, DESARROLLO DE NEGOCIOS E IMPLEMENTACION DE ESTUDIOS DE MERCADO. CNAE PRINCIPAL 7022...","17,037,285",n.d.,"17,037,285","9,433,736","579,254","218,501","390,091","337,629","140,022","244,914","162,226","108,297","79,000",n.d.,"79,000","59,688","38,073","20,151","58,925","11,767","18,846","34,917","44,150","3,558",3.61,n.d.,3.61,4.04,3.85,3.66,7.13,1.88,2.53,5.16,14.86,0.88,32.98,n.d.,32.98,28.84,51.97,39.07,140.13,-69.73,-42.29,-56.72,-71.44,-3.71,1.04,n.d.,1.04,1.03,0.95,0.56,0.81,0.61,0.35,0.35,0.13,0.16,89.06,n.d.,89.06,86.00,92.59,90.63,94.91,102.70,105.99,109.10,120.81,123.62,2,n.d.,2,3,2,1,1,1,1,1,1,1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
281.,NINJATRUCK SOCIEDAD LIMITADA.,B98732290,MADRID,-3.67914427,40.43965954,31/12/2019,131,3,6202,Actividades de consultoría informática,"El objeto social, con CNAE 6202 lo constituye: Las actividades propias de consultoría logística. El desarrollo, marketing, comercialización, gestión y operación de soluciones de internet o cualquier otra forma de comunicación electrónica relacionada con el transporte y la logística. El desarrollo, l","17,020,279",n.d.,"17,020,279","8,383,628","2,965,924","133,150",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,"-8,993,345",n.d.,"-8,993,345","-7,810,248","-4,989,280","-1,085,868","-6,248",n.d.,n.d.,n.d.,n.d.,n.d.,-37.50,n.d.,-37.50,-26.40,-67.75,-53.48,-8.04,n.d.,n.d.,n.d.,n.d.,n.d.,-57.68,n.d.,-57.68,-32.36,-77.82,-58.72,-8.61,n.d.,n.d.,n.d.,n.d.,n.d.,1.74,n.d.,1.74,4.49,6.31,9.24,14.82,n.d.,n.d.,n.d.,n.d.,n.d.,34.98,n.d.,34.98,18.44,12.95,8.93,6.59,n.d.,n.d.,n.d.,n.d.,n.d.,131,n.d.,131,94,42,11,1,n.d.,n.d.,n.d.,n.d.,n.d.,39,n.d.,39,n.d.,12,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,92,n.d.,92,n.d.,30,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
282.,VIZZMEDIA ONLINE SL.,B66356361,BARCELONA,2.16642586,41.39063254,31/12/2018,27,2,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"LA REALIZACION DE CAMPAÑAS DE MARKETING ONLINE, DISEÑO, PUBLICIDAD, COMUNICACION, Y COMPRA DE MEDIOS EN INTERNET","16,893,333",n.d.,n.d.,"16,893,333","5,904,082","4,693,884",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,"2,079,904",n.d.,n.d.,"2,079,904","579,187","1,189,058",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,32.06,n.d.,n.d.,32.06,15.52,43.02,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,68.19,n.d.,n.d.,68.19,40.43,126.39,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.87,n.d.,n.d.,1.87,1.60,1.49,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,52.98,n.d.,n.d.,52.98,61.62,65.96,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,27,n.d.,n.d.,27,11,6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
283.,"SYSTEMS MAINTENANCE SERVICES EUROPA, SA",A29785508,ALCOBENDAS,-3.65982046,40.52631351,31/12/2018,100,4,6202,Actividades de consultoría informática,Desarrollo de sistemas informáticos y gestión de telecomunicaciones.,"16,786,740",n.d.,n.d.,"16,786,740","14,849,498","15,020,476","14,976,468","13,641,175","13,279,616","18,940,941","18,619,976",n.d.,"-1,559,764",n.d.,n.d.,"-1,559,764","188,436","189,355","174,587","40,476","22,658","42,320","208,602",n.d.,-19.83,n.d.,n.d.,-19.83,3.90,4.19,3.72,0.31,1.83,0.76,2.96,n.d.,-316.25,n.d.,n.d.,-316.25,12.00,13.24,14.64,1.69,10.28,4.37,17.43,n.d.,1.21,n.d.,n.d.,1.21,0.76,0.53,0.34,0.43,0.36,0.94,1.04,n.d.,93.73,n.d.,n.d.,93.73,67.46,68.36,74.62,81.40,82.18,82.69,83.00,n.d.,75,n.d.,n.d.,75,418,410,418,375,354,501,497,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
284.,UBER SYSTEMS SPAIN SL.,B66254202,MADRID,-3.62652252,40.43793262,31/12/2018,35,196,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"DAR SOPORTE A OTRAS SOCIEDADES DEL GRUPO PROVEYENDO SERVICIO ""ON DEMAND"" (A PEDIDO) DE SOLICITUDES EFECTUADOS MEDIANTE APARATOS MOVILES Y POR INTERNET,","16,730,306",n.d.,n.d.,"16,730,306","2,885,186","1,428,545","1,268,657","515,864",n.d.,n.d.,n.d.,n.d.,"979,914",n.d.,n.d.,"979,914","163,514","83,401","63,222","30,968",n.d.,n.d.,n.d.,n.d.,27.46,n.d.,n.d.,27.46,22.56,16.75,37.19,6.12,n.d.,n.d.,n.d.,n.d.,74.90,n.d.,n.d.,74.90,63.16,61.91,104.03,118.98,n.d.,n.d.,n.d.,n.d.,1.44,n.d.,n.d.,1.44,1.13,1.19,1.15,0.96,n.d.,n.d.,n.d.,n.d.,63.34,n.d.,n.d.,63.34,64.29,72.95,64.25,94.86,n.d.,n.d.,n.d.,n.d.,35,n.d.,n.d.,35,13,8,8,4,n.d.,n.d.,n.d.,n.d.,14,n.d.,n.d.,14,2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,42,n.d.,n.d.,42,13,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
285.,ALAMOCONSULTING SL.,B85099828,TRES CANTOS,-3.71129989,40.5964567,31/12/2018,200,0,6202,Actividades de consultoría informática,Consultoría tecnológica y desarrollo de soluciones.,"16,665,323",n.d.,n.d.,"16,665,323","15,172,548","13,682,114","10,339,762","6,258,590","4,462,927","3,697,526","3,141,676","2,998,312","3,470,951",n.d.,n.d.,"3,470,951","3,492,118","3,550,527","2,812,458","1,015,209","461,557","619,773","212,919","398,727",36.75,n.d.,n.d.,36.75,35.49,42.44,45.14,31.62,11.59,14.51,5.58,15.52,45.30,n.d.,n.d.,45.30,46.75,58.35,60.16,50.33,17.14,18.94,7.47,18.73,5.98,n.d.,n.d.,5.98,4.30,3.78,4.14,3.67,3.87,4.21,3.63,5.51,18.88,n.d.,n.d.,18.88,24.09,27.28,24.97,37.16,32.36,23.41,25.26,17.18,186,n.d.,n.d.,186,161,134,113,81,61,52,46,42,79,n.d.,n.d.,79,42,36,26,n.d.,14,n.d.,n.d.,n.d.,120,n.d.,n.d.,120,151,129,87,n.d.,54,n.d.,n.d.,n.d.
286.,BLUEIT SERVICIOS PROFESIONALES SL,B63782007,MADRID,-3.69130014,40.45137392,30/06/2019,124,6,6202,Actividades de consultoría informática,Consultoría informática.,"16,622,517",n.d.,"16,622,517","11,773,283","7,217,285","9,271,715","4,017,606","5,998,656","4,502,338","3,843,828","3,649,254","3,679,382","1,603,269",n.d.,"1,603,269","1,017,988","257,796","431,002","88,321","79,994","288,385","30,552","72,505","109,482",26.56,n.d.,26.56,33.23,13.10,23.13,4.42,2.20,20.25,2.22,6.18,10.50,59.50,n.d.,59.50,65.40,26.92,62.46,13.82,9.09,47.68,7.18,21.16,25.80,1.88,n.d.,1.88,2.46,1.42,1.45,1.28,1.24,1.35,1.20,1.14,1.47,55.35,n.d.,55.35,49.19,51.32,62.97,68.02,75.76,57.53,69.12,70.78,59.31,124,n.d.,124,111,68,78,65,70,35,45,55,59,n.d.,n.d.,n.d.,n.d.,n.d.,24,22,n.d.,16,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,57,35,n.d.,20,n.d.,n.d.,n.d.
287.,S2 GRUPO DE INNOVACION EN PROCESOS ORGANIZATIVOS SL,B96863444,VALENCIA,-0.34957452,39.46772268,31/12/2019,340,6,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Prestación de servicios y productos especializados en Ciberseguridad y Ciberinteligencia.,"16,590,910",n.d.,"16,590,910","13,898,024","10,568,705","9,330,465","8,018,782","6,186,064","4,389,696","3,188,676","2,933,439","2,186,242","571,209",n.d.,"571,209","625,425","169,026","202,286","313,033","361,213","116,378","115,504","197,685","62,784",5.02,n.d.,5.02,4.72,1.05,0.67,3.02,4.28,2.35,2.87,2.79,2.38,17.97,n.d.,17.97,16.71,3.78,2.73,11.15,13.97,8.55,9.18,8.06,7.78,1.03,n.d.,1.03,1.42,0.78,0.80,1.20,1.23,1.09,1.78,2.77,1.77,72.04,n.d.,72.04,71.76,72.32,75.37,72.89,69.39,72.49,68.74,65.40,69.43,303,n.d.,303,257,228,223,195,134,108,72,66,55,79,n.d.,79,72,63,46,53,36,28,22,n.d.,n.d.,255,n.d.,255,216,173,166,142,98,80,50,n.d.,n.d.
288.,OPENTRENDS SOLUCIONS I SISTEMES SL,B63446470,BARCELONA,2.2101741,41.4122828,31/12/2019,209,4,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Consultoria informatica y desarrollo de programas informaticos.,"16,513,650",n.d.,"16,513,650","15,733,192","14,343,425","12,161,035","8,714,776","6,369,380","4,679,333","4,317,294","4,366,977","4,479,554","787,437",n.d.,"787,437","256,794","425,268","475,102","400,395","353,024","78,227","136,466","39,306","88,752",11.26,n.d.,11.26,4.59,7.57,11.20,12.74,11.15,3.24,6.44,2.18,4.52,27.07,n.d.,27.07,11.80,21.76,29.72,33.85,33.81,9.73,18.58,5.94,15.16,1.73,n.d.,1.73,1.77,1.58,1.67,1.84,1.76,1.84,1.90,1.57,1.45,58.39,n.d.,58.39,61.08,65.23,62.31,62.38,67.02,66.66,65.34,63.35,70.20,209,n.d.,209,215,219,181,135,92,71,60,65,64,n.d.,n.d.,n.d.,39,45,41,33,18,17,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,164,185,161,139,97,69,n.d.,n.d.,n.d.
289.,COREMAIN SL,B15313505,SANTIAGO DE COMPOSTELA,-8.512574,42.903353,31/12/2019,350,14,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Consultoría informática.,"16,377,405",n.d.,"16,377,405","15,580,848","19,499,402","14,332,231","19,901,259","13,174,041","13,476,452","14,658,882","20,985,353","28,736,188","1,132,444",n.d.,"1,132,444","103,588","-23,990","-508,497","85,576","408,606","223,697","-909,675","9,372","209,186",1.91,n.d.,1.91,2.04,0.20,-5.26,1.49,4.84,1.64,-13.91,0.15,1.17,4.96,n.d.,4.96,7.86,1.21,-21.74,6.25,17.60,6.91,-59.45,0.59,6.79,1.21,n.d.,1.21,0.69,0.86,0.85,0.93,0.67,0.76,0.93,1.09,1.05,61.53,n.d.,61.53,74.09,83.91,75.80,76.20,72.51,76.22,76.60,74.02,82.73,410,n.d.,410,339,309,n.d.,n.d.,341,359,330,369,390,125,n.d.,125,n.d.,n.d.,n.d.,n.d.,103,n.d.,n.d.,n.d.,89,282,n.d.,282,n.d.,n.d.,n.d.,n.d.,237,n.d.,n.d.,n.d.,278
290.,"AXESOR CONOCER PARA DECIDIR, SA",A18413302,ARMILLA,-3.61240362,37.15523173,31/12/2019,142,2,6311,"Proceso de datos, hosting y actividades relacionadas","CONSULTORIA, SOPORTE, DESARROLLO, EXPLOTACION, DISTRIBUCION Y VENTA DE PRODUCTOS Y SISTEMAS DE TECNOLOGIA DE LA INFORMACION.","16,372,192",n.d.,"16,372,192","15,557,295","15,973,946","17,998,433","16,690,935","15,700,450","16,827,866","18,932,426","19,920,823","19,528,065","1,354,737",n.d.,"1,354,737","1,171,165","1,155,765","200,667","607,873","173,347","435,708","557,592","631,978","1,054,370",6.79,n.d.,6.79,6.27,6.50,0.78,2.42,0.66,1.46,1.95,2.10,1.25,17.11,n.d.,17.11,17.11,19.17,1.77,3.28,0.91,1.98,2.66,2.97,1.96,0.39,n.d.,0.39,0.50,1.02,1.04,0.59,0.59,0.47,0.55,0.47,0.51,60.29,n.d.,60.29,63.37,66.11,55.67,26.17,27.09,26.13,26.56,29.27,36.31,142,n.d.,142,150,129,193,183,170,189,195,170,178,75,n.d.,75,75,65,97,95,91,100,95,93,89,75,n.d.,75,75,66,96,99,89,89,81,78,72
291.,ESRI ESPAÑA SOLUCIONES GEOESPACIALES SL.,B86900057,MADRID,-3.62753535,40.43222945,31/12/2019,110,0,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Distribución y servicios de software geográfico.,"16,328,389",n.d.,"16,328,389","15,292,808","14,287,553","14,165,811","6,247,237",n.d.,n.d.,n.d.,n.d.,n.d.,"1,355,174",n.d.,"1,355,174","1,247,531","1,669,347","499,399","461,433",n.d.,n.d.,n.d.,n.d.,n.d.,10.51,n.d.,10.51,10.29,14.95,4.51,3.80,0.00,n.d.,n.d.,n.d.,n.d.,38.65,n.d.,38.65,42.94,84.03,65.48,136.12,0.00,n.d.,n.d.,n.d.,n.d.,1.63,n.d.,1.63,1.56,1.37,1.23,1.09,12.94,n.d.,n.d.,n.d.,n.d.,72.79,n.d.,72.79,76.04,82.21,93.12,97.21,7.73,n.d.,n.d.,n.d.,n.d.,110,n.d.,110,96,99,93,84,n.d.,n.d.,n.d.,n.d.,n.d.,34,n.d.,34,33,31,32,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,79,n.d.,79,66,70,66,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
292.,VEEVA SYSTEMS SPAIN SL,B65318404,CORNELLA DE LLOBREGAT,2.081166,41.362621,31/01/2019,94,15,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"COMERCIALIZAR Y PROMOVER EL SOFTWARE DESARROLLADO POR SU SOCIEDAD MATRIZ ("" SOFTWARE AS A SERVICE""), QUE BUSCA PRESTAR SOLUCIONES DE GESTION DE CONTENIDO PARA LA INDUSTRIA RELACIONADA CON LA CIENCIA DE LA VIDA (BIOLOGIA,...","15,962,474",n.d.,n.d.,"15,962,474","11,202,126","11,322,415","9,657,470","8,190,473","8,335,331","7,616,412",n.d.,n.d.,"559,100",n.d.,n.d.,"559,100","444,053","566,214","478,695","269,759","264,623","238,114",n.d.,n.d.,16.30,n.d.,n.d.,16.30,16.79,27.95,27.71,19.42,22.51,31.69,n.d.,n.d.,25.66,n.d.,n.d.,25.66,24.78,38.13,47.27,41.85,59.94,91.22,n.d.,n.d.,2.52,n.d.,n.d.,2.52,2.86,3.63,2.33,1.82,1.53,1.42,n.d.,n.d.,36.46,n.d.,n.d.,36.46,32.23,26.70,41.38,53.59,62.44,65.26,n.d.,n.d.,94,n.d.,n.d.,94,58,49,52,38,35,30,n.d.,n.d.,15,n.d.,n.d.,15,11,13,12,10,n.d.,n.d.,n.d.,n.d.,43,n.d.,n.d.,43,39,39,30,21,n.d.,n.d.,n.d.,n.d.
293.,CYBERSOC EMEA CENTER SL.,B87634325,MADRID,-3.69278423,40.44995887,31/05/2019,199,9,7022,Otras actividades de consultoría de gestión empresarial,"La realización de todo tipo de servicios de seguridad informática, y en concreto: planificación, desarrollo e implantación de estrategias de sistemas y tecnologías de la información, gestión del riesgo informático; definición, análisis, implantación, gestión y operación de la seguridad","15,951,000",n.d.,"15,951,000","11,608,000","7,308,000",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,"511,000",n.d.,"511,000","-354,000","12,000",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,10.04,n.d.,10.04,-8.91,0.43,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,26.86,n.d.,26.86,-23.15,0.85,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.48,n.d.,1.48,1.44,1.53,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,62.64,n.d.,62.64,61.50,49.40,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,199,n.d.,199,147,111,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,33,n.d.,33,23,18,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,176,n.d.,176,141,96,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
